               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.038048,            0.079471,                   0,             0.93663,              0.9072,             0.94427,             0.49549,            0.039586,            0.091647,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.037831,            0.079479,                   0,             0.93773,             0.90716,             0.94419,             0.49599,            0.039569,            0.091544,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.037592,            0.078848,                   0,             0.93496,             0.90817,             0.94354,             0.49654,            0.039688,             0.09184,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.037697,             0.08048,                   0,             0.93507,             0.90828,             0.94331,             0.49704,            0.039684,             0.09195,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.037645,            0.079602,                   0,             0.93402,             0.91063,             0.94307,             0.49504,            0.039705,            0.091921,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.037668,            0.079156,                   0,             0.93995,             0.90435,             0.94346,             0.49739,            0.039766,            0.091722,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.037634,             0.08029,                   0,             0.93584,              0.9085,             0.94453,             0.49418,             0.03982,            0.091949,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.037697,            0.078692,                   0,             0.93956,             0.90529,             0.94392,             0.49626,            0.039629,            0.092244,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.037488,            0.078531,                   0,             0.93735,             0.90819,             0.94338,             0.49607,            0.039579,            0.091951,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.037563,            0.078307,                   0,             0.94203,             0.90113,             0.94309,             0.49651,            0.039648,            0.092064,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.037563,            0.079521,                   0,             0.93813,             0.90581,             0.94264,              0.4964,            0.039628,            0.092074,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.037581,            0.080219,                   0,             0.93684,             0.90863,             0.94363,             0.49539,            0.039647,            0.092078,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.037654,            0.080841,                   0,             0.94039,             0.90301,             0.94059,             0.49467,            0.039632,            0.092011,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.037551,            0.079652,                   0,             0.93471,             0.88133,             0.92039,             0.48584,            0.039608,            0.091784,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.037175,            0.079099,                   0,             0.94048,             0.90582,             0.94465,             0.49685,            0.039623,            0.092018,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.037407,            0.077644,                   0,             0.93398,             0.70136,             0.76401,             0.41334,            0.039638,            0.092109,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.037185,            0.078234,                   0,             0.94135,             0.90644,             0.94375,             0.49508,            0.039711,             0.09211,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.037219,            0.079363,                   0,             0.93664,              0.9093,             0.94339,             0.49531,            0.039786,            0.092519,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.037237,             0.07933,                   0,             0.93729,             0.90774,             0.94409,             0.49575,            0.039737,            0.092464,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.037227,            0.079215,                   0,             0.93468,             0.91077,             0.94421,             0.49643,             0.03974,            0.092553,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.037446,            0.079307,                   0,             0.93702,             0.90864,             0.94427,             0.49694,            0.039735,            0.092416,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.037276,            0.078941,                   0,             0.93701,             0.90738,              0.9436,             0.49596,             0.03971,            0.092575,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.037241,            0.079308,                   0,             0.93688,              0.9101,             0.94458,             0.49832,            0.039651,            0.092394,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.037257,            0.078256,                   0,             0.93806,             0.90881,              0.9444,              0.4984,             0.03965,            0.092439,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.037148,            0.079141,                   0,             0.93967,             0.90882,             0.94492,             0.49846,            0.039598,            0.092372,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.036959,            0.077123,                   0,             0.93718,             0.91024,             0.94458,             0.49827,            0.039557,            0.092455,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.037085,            0.079079,                   0,             0.94063,             0.90479,             0.94358,             0.49774,            0.039594,             0.09254,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.037013,            0.079023,                   0,             0.93673,             0.90949,             0.94507,             0.49796,            0.039579,            0.092328,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.037067,             0.07862,                   0,             0.93692,              0.9072,             0.94408,             0.49752,            0.039579,            0.092402,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.037007,            0.078227,                   0,             0.93969,             0.90644,             0.94461,             0.49707,            0.039717,            0.092633,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.036797,            0.079871,                   0,             0.93929,             0.90145,             0.93918,             0.49484,            0.039741,            0.092676,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.036816,            0.078311,                   0,             0.93654,             0.90948,             0.94426,              0.4969,            0.039656,            0.092689,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.036841,            0.077826,                   0,             0.93715,             0.91024,             0.94435,             0.49705,            0.039694,            0.092877,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.037087,            0.079367,                   0,             0.93618,             0.91169,              0.9444,             0.49703,            0.039731,            0.092872,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.036626,            0.078347,                   0,             0.93683,             0.91045,             0.94398,             0.49733,            0.039738,             0.09292,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.036653,            0.078432,                   0,             0.93667,             0.91109,             0.94483,             0.49712,            0.039705,            0.093022,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.036745,            0.079861,                   0,             0.93818,             0.91144,             0.94529,             0.49808,            0.039654,            0.092807,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.036812,            0.078438,                   0,             0.93627,             0.91099,             0.94482,              0.4971,             0.03969,            0.092906,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.036565,            0.077826,                   0,             0.94269,             0.90368,               0.945,              0.4978,            0.039702,            0.092673,                   0,            0.004654,            0.004654,            0.004654
